province,regency_city,province_aliases,regency_city_aliases,lat,long
Sumatera Utara,Kabupaten Langkat,"Sumatera Utara, North Sumatra, North Sumatra, North Sumatra, North Sumatra","Kabupaten Langkat, Langkat Regency, Langkat Regency, Langkat Regency, Langkat Regency",3.8654,98.3088
Sumatera Utara,Kabupaten Mandailing Natal,"North Sumatra, North Sumatra, North Sumatra, North Sumatra, North Sumatra","Mandailing Natal Regency, Mandailing Natal Regency, Mandailing Natal Regency, Mandailing Natal Regency, Mandailing Natal Regency",0.7432,99.3673
Sumatera Utara,Kabupaten Nias,"North Sumatra, North Sumatra, Sumatera Utara, North Sumatra, North Sumatra","Nias Regency, Nias Regency, Kabupaten Nias, Nias Regency, Nias Regency",1.0869,97.7417
Sumatera Utara,Kabupaten Nias Barat,"North Sumatra, North Sumatra, North Sumatra, North Sumatra, North Sumatra","West Nias Regency, West Nias Regency, West Nias Regency, West Nias Regency, West Nias Regency",1.0116,97.4814
Sumatera Utara,Kabupaten Nias Selatan,"North Sumatra, North Sumatra, North Sumatra, North Sumatra, North Sumatra","South Nias Regency, South Nias Regency, South Nias Regency, South Nias Regency, South Nias Regency",0.7086,97.8286
Sumatera Utara,Kabupaten Nias Utara,"North Sumatra, Sumatera Utara, North Sumatra, North Sumatra, North Sumatra","North Nias Regency, Kabupaten Nias Utara, North Nias Regency, North Nias Regency, North Nias Regency",1.3166,97.3949
Sumatera Utara,Kabupaten Padang Lawas,"North Sumatra, Sumatera Utara, North Sumatra, North Sumatra, North Sumatra","Padang Lawas Regency, Kabupaten Padang Lawas, Padang Lawas Regency, Padang Lawas Regency, Padang Lawas Regency",1.1187,99.8125
Sumatera Utara,Kabupaten Padang Lawas Utara,"North Sumatra, North Sumatra, North Sumatra, North Sumatra, North Sumatra","North Padang Lawas Regency, North Padang Lawas Regency, North Padang Lawas Regency, North Padang Lawas Regency",1.5759,99.6341
Sumatera Utara,Kabupaten Pakpak Bharat,"North Sumatra, North Sumatra, North Sumatra, North Sumatra, North Sumatra","Pakpak Bharat Regency, Pakpak Bharat Regency, Pakpak Bharat Regency, Pakpak Bharat Regency, Pakpak Bharat Regency",2.5135,98.2213
Sumatera Utara,Kabupaten Samosir,"North Sumatra, North Sumatra, North Sumatra, North Sumatra, North Sumatra","Samosir Regency, Samosir Regency, Samosir Regency, Samosir Regency, Samosir Regency",2.6274,98.7922
Sumatera Utara,Kabupaten Serdang Bedagai,"North Sumatra, North Sumatra, Sumatera Utara, North Sumatra, North Sumatra","Serdang Bedagai Regency, Serdang Bedagai Regency, Kabupaten Serdang Bedagai, Serdang Bedagai Regency, Serdang Bedagai Regency",3.3372,99.0571
Sumatera Utara,Kabupaten Simalungun,"Sumatera Utara, North Sumatra, North Sumatra, North Sumatra, North Sumatra","Kabupaten Simalungun, Simalungun Regency, Simalungun Regency, Simalungun Regency, Simalungun Regency",2.9782,99.2786
